鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西區,房地(土地+建物),臺中市西區大墩十一街91~120號,47.63,住,,,1051231,土地1建物1車位0,見其他登記事項,2,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0820914,303.83,0,0,0,無,無,無,55000,181,,0.0,0,,RPOOMLLKJHMFFAB96CC
南屯區,房地(土地+建物),臺中市南屯區精科南路1~30號,5254.77,工,,,1051215,土地1建物2車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,1050719,12612.7,0,0,0,無,無,無,2050000,,,0.0,0,,RPPNMLLKJHMFFCB17CC
西屯區,房地(土地+建物),臺中市西屯區西屯路二段61~90號,91.0,住,,,1051223,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0670228,278.4,5,2,4,有,無,無,36720,132,,0.0,0,,RPVNMLMKJHMFFCB87CC
南區,建物,臺中市南區德富路91~120號,42.53,住,,,1060107,土地0建物1車位0,見其他登記事項,9,店面(店鋪),住商用,鋼筋混凝土造,0871219,256.92,0,0,0,無,有,無,40000,156,,0.0,0,,RPTPMLMKJHMFFAB67CC
北區,建物,臺中市北區中清路一段451~480號,72.0,商,,,1051219,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0561116,192.64,2,2,2,有,無,無,18000,93,,0.0,0,,RPVOMLQKJHMFFBB28CC
北屯區,建物,臺中市北屯區梅川西路四段271~300號,0.0,住,,,1051229,土地0建物3車位3,見其他登記事項,19,店面(店鋪),住商用,鋼筋混凝土造,0830906,446.9,1,4,3,有,有,無,70000,157,坡道平面,0.0,0,承租三個門牌，106/1/1-106/3/31裝修期，不收租金，車位面積無法分算,RPSPMLQKJHMFFBB08CC
西區,房地(土地+建物),臺中市西區向上路一段79巷1~30號,80.0,住,,,1051222,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0691020,246.45,3,3,2,有,無,無,38000,154,,0.0,0,,RPTPMLRKJHMFFAB18CC
北區,建物,臺中市北區太平路1~30號,0.0,住,,,1060103,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0570628,131.2,3,1,2,有,無,無,50000,381,,0.0,0,透天厝分租，106/2/5-106/3/4裝潢期不收取租金,RPQUMLKLJHMFFBB87CC
西屯區,房地(土地+建物),臺中市西屯區忠義街121~150號,74.51,住,,,1060117,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土造,0831220,407.6,0,0,0,無,有,無,40000,98,,0.0,0,標的物一、二層,RPQOMLNLJHMFFCB67CC
潭子區,房地(土地+建物),臺中市潭子區頭張路二段89巷31~60號,119.07,住,,,1051226,土地1建物1車位0,全,4,透天厝,住商用,加強磚造,0690315,153.96,0,0,0,無,無,無,22000,143,,0.0,0,,RPQNMLNLJHMFFFL98DC
太平區,房地(土地+建物),臺中市太平區中山路二段100巷51弄1~30號,83.94,,鄉村區,乙種建築用地,1060105,土地1建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0690920,128.35,3,2,2,有,無,無,10000,78,,0.0,0,,RPTNMLNLJHMFFHL76CC
南屯區,房地(土地+建物),臺中市南屯區工業18路1~30號,1980.0,工,,,1060123,土地2建物1車位0,見其他登記事項,1,其他,工業用,加強磚造,0711022,904.19,0,0,0,無,無,無,270000,299,,0.0,0,,RPQPMLOLJHMFFCB87CC
南屯區,房地(土地+建物),臺中市南屯區興路二段331~360號,88.0,住,,,1060106,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0751223,288.7,5,3,7,有,無,有,52000,180,,0.0,0,,RPORMLNJKHMFFCB67CC
西區,建物,臺中市西區貴和街1~30號,0.0,住,,,1060125,土地0建物1車位0,全,3,透天厝,住家用,見其他登記事項,0600918,178.88,4,3,3,有,無,無,18000,101,,0.0,0,,RPOPMLQJKHMFFAB57CC
太平區,房地(土地+建物),臺中市太平區新福路91~120號,91.21,住,,,1060118,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0950314,97.2,4,3,3,有,無,有,7000,72,,0.0,0,只承租牆面吊掛帆布廣告,RPQNMLQJKHMFFHL66CC
西區,建物,臺中市西區三民西路61~90號,0.0,商,,,1060120,土地0建物2車位2,見其他登記事項,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041214,319.22,0,2,3,有,有,無,79464,249,坡道平面,46.66,0,承租兩個門牌,RPPNMLRJKHMFFAB57CC
大里區,房地(土地+建物),臺中市大里區國光路一段31~60號,90.21,工,,,1060125,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,301.02,0,0,0,無,無,無,32000,106,,0.0,0,,RPOOMLKKKHMFFGL68DC
太平區,房地(土地+建物),臺中市太平區永成北路151~180號,36.45,住,,,1060129,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0810526,179.66,4,2,3,有,有,無,20000,111,,0.0,0,,RPQNMLNKKHMFFHL56DC
東區,建物,臺中市東區十甲路421~450號,0.0,住,,,1060206,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830322,30.58,1,0,1,有,有,有,6500,213,,0.0,0,,RPSOMLQKKHMFFAB97CC
南區,房地(土地+建物)+車位,臺中市南區德富路211~240號,18.94,住,,,1060121,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0990921,142.06,3,2,2,有,有,有,24000,169,坡道平面,28.21,0,租金含管理費。,RPSPMLQKKHMFFAB08CC
西區,房地(土地+建物)+車位,臺中市西區公益路361~390號,10.24,住,,,1060124,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891021,104.10999999999999,2,1,1,有,有,有,22000,211,坡道機械,6.92,0,,RPXPMLQKKHMFFAB58CC
北屯區,房地(土地+建物),臺中市北屯區東山路一段43巷1~30號,52.8,住,,,1060216,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0681024,165.28,3,2,2,有,無,無,12000,73,,0.0,0,,RPVNMLQKKHMFFBB28CC
北區,房地(土地+建物)+車位,臺中市北區進化北路301~330號,5.59,商,,,1060203,土地2建物1車位1,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,83.55,0,0,0,無,有,有,20000,239,坡道機械,0.0,0,含管理費,RPVPMLQKKHMFFBB48CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.87,商,,,1060207,土地2建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,99.21000000000001,0,0,0,無,有,有,15000,151,,0.0,0,含管理費,RPWPMLQKKHMFFBB58CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.75,商,,,1060206,土地2建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,66.83,0,0,0,無,有,有,14000,209,,0.0,0,,RPXPMLQKKHMFFBB68CC
北區,房地(土地+建物)+車位,臺中市北區進化北路301~330號,6.02,商,,,1060206,土地2建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,80.01,0,0,0,無,有,有,18000,225,坡道機械,0.0,0,含管理費,RPOQMLQKKHMFFBB87CC
北區,車位,臺中市北區進化北路301~330號,0.5,商,,,1060211,土地0建物0車位1,,,其他,,,,31.88,0,0,0,有,有,無,3500,,坡道平面,31.88,0,,RPPQMLQKKHMFFBB97CC
南屯區,房地(土地+建物),臺中市南屯區寶山五街1~30號,20.54,住,,,1060124,土地1建物1車位0,見其他登記事項,12,其他,住商用,鋼筋混凝土造,0831007,222.54,3,2,3,有,有,無,17000,76,,0.0,0,,RPWNMLQKKHMFFCB48CC
南屯區,建物,臺中市南屯區忠勇路31~60號,0.0,住,,,1060122,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1021017,147.39,1,0,1,有,有,有,32500,221,,0.0,0,,RPTOMLQKKHMFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區工業區17路1~30號,99.0,住,,,1060208,土地1建物1車位0,全,3,透天厝,工業用,鋼筋混凝土造,0811030,87.3,3,0,3,有,無,無,16200,186,,0.0,0,,RPOPMLQKKHMFFCB87CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,6.48,商,,,1060213,土地1建物1車位0,十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,71.82,0,0,0,無,有,有,15000,209,,0.0,0,,RPQPMLQKKHMFFCB08CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,8.21,商,,,1060210,土地1建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,84.86,2,1,2,有,無,有,23000,271,,0.0,0,含管理費,RPRPMLQKKHMFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,10.54,商,,,1060205,土地1建物1車位1,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,132.76999999999998,3,1,1,有,有,有,26000,196,坡道平面,37.8,0,,RPSPMLQKKHMFFCB28CC
西屯區,房地(土地+建物)+車位,臺中市西屯區安和路151~180號,31.74,住,,,1060202,土地2建物1車位2,二層,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040320,197.82999999999998,0,0,0,無,有,無,47000,238,坡道平面,0.0,0,,RPWNMLRKKHMFFCB58CC
西屯區,房地(土地+建物),臺中市西屯區市政路481~510號,12.95,其他,,,1060208,土地1建物1車位0,八層,29,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1011219,218.66,0,0,0,無,有,無,46000,210,,0.0,0,,RPXNMLRKKHMFFCB68CC
西屯區,房地(土地+建物),臺中市西屯區河南路三段121~150號,12.14,其他,,,1060125,土地1建物1車位0,十一層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960313,102.35,1,1,1,有,有,有,22324,218,,0.0,0,租金含管理費,RPWOMLRKKHMFFCB68CC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,17.04,其他,,,1060210,土地1建物1車位3,九層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,279.65,0,0,0,無,有,無,64520,231,坡道機械,0.0,0,,RPXOMLRKKHMFFCB78CC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,17.54,其他,,,1060210,土地1建物1車位3,九層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,288.91,0,0,0,無,有,無,66430,230,坡道機械,0.0,0,,RPQPMLRKKHMFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區中平北路61~90號,0.0,住,,,1060125,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051026,51.53,2,1,1,有,有,有,21800,423,坡道平面,0.0,0,,RPOQMLRKKHMFFCB08CC
