鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
信義區,建物,臺北市信義區信義路五段121~150號,0.0,其他,,,1060216,土地0建物1車位0,十九層,5,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0951229,91.97,1,1,1,有,有,有,45586,496,,0.0,0,,RPWNMLRKKHMFFDA58CC
松山區,建物,臺北市松山區南京東路五段61~90號,43.74,商,,,1060121,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0731004,358.37,0,0,0,無,有,無,220000,614,,0.0,0,,RPROMLRKKHMFFDA18CC
松山區,建物,臺北市松山區民生東路五段69巷3弄1~30號,0.0,住,,,1060126,土地0建物1車位0,四層,7,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680719,113.02000000000001,2,1,2,有,有,有,60000,531,,0.0,0,,RPVOMLSKKHMFFDA68CC
信義區,建物,臺北市信義區光復南路421巷1~30號,0.0,商,,,1060120,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,70.6,1,1,1,有,無,無,30000,425,,0.0,0,,RPOPMLSKKHMFFDA08CC
中正區,建物,臺北市中正區仁愛路二段9巷1~30號,0.0,住,,,1060203,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971114,30.84,1,1,1,有,有,有,17000,551,,0.0,0,,RPRNMLSKKHMFFBA97CC
大同區,建物,臺北市大同區酒泉街121~150號,0.0,住,,,1060214,土地0建物1車位0,一層,4,店面(店鋪),,鋼筋混凝土造,0640319,93.17,0,1,1,有,無,無,35000,376,,0.0,0,,RPTNMLSKKHMFFBA18CC
中正區,建物,臺北市中正區臨沂街61巷1~30號,27.83,住,,,1060211,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721014,120.43,3,2,2,有,有,有,38000,316,,0.0,0,,RPQOMLSKKHMFFBA97CC
士林區,建物,臺北市士林區芝玉路一段197巷1~30號,0.0,住,,,1060201,土地0建物1車位0,地下一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0750220,98.36999999999999,3,2,2,有,無,有,16000,163,,0.0,0,,RPROMLSKKHMFFEA38CC
北投區,建物,臺北市北投區明德路1~30號,0.0,住,,,1060101,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050425,138.32,3,2,2,有,有,有,78000,564,,0.0,0,,RPOPMLSKKHMFFEA18CC
中山區,建物,臺北市中山區合江街55巷1~30號,0.0,住,,,1060121,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980414,65.5,1,1,1,有,有,有,38500,588,,0.0,0,,RPTNMLSKKHMFFCA28CC
中山區,建物,臺北市中山區龍江路120巷1~30號,0.0,商,,,1060123,土地0建物1車位0,七層,11,辦公商業大樓,商業用,鋼筋混凝土造,0880524,78.38,1,1,1,有,有,有,31000,396,,0.0,0,,RPUNMLSKKHMFFCA38CC
中山區,建物,臺北市中山區松江路31~60號,0.0,住,,,1060201,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790514,46.24,1,1,1,有,有,無,16000,346,,0.0,0,,RPVNMLSKKHMFFCA48CC
中山區,建物,臺北市中山區伊通街106巷1~30號,67.36,住,,,1060120,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),,加強磚造,,67.36,0,0,0,無,無,無,46000,683,,0.0,0,,RPROMLSKKHMFFCA18CC
內湖區,建物,臺北市內湖區內湖路一段661~690號,0.0,其他,,,1060123,土地0建物1車位1,十八層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0991123,129.72,2,1,1,有,有,有,50000,385,坡道平面,45.08,0,,RPUOMLSKKHMFFCA48CC
大安區,建物,臺北市大安區光復南路240巷31~60號,0.0,商,,,1060101,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941213,67.13,2,1,1,有,有,有,50000,745,,0.0,0,,RPUNMLSKKHMFFFA68CC
大安區,建物,臺北市大安區忠孝東路四段49巷1~30號,0.0,商,,,1060119,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,,241.66,0,0,0,無,無,無,580000,2400,,0.0,0,,RPXNMLSKKHMFFFA98CC
內湖區,房地(土地+建物)+車位,臺北市內湖區陽光街345巷1~30號,0.0,工,,,1060120,土地1建物1車位1,六層,9,廠辦,工業用,鋼筋混凝土造,0901212,326.97,0,0,0,無,有,無,130000,398,坡道平面,0.0,0,,RPWNMLTKKHMFFCA68CC
信義區,建物,臺北市信義區松智路1~30號,0.0,其他,,,1060104,土地0建物1車位0,十七層,27,辦公商業大樓,見其他登記事項,見其他登記事項,0980320,302.48,5,1,0,有,有,無,326655,1080,,0.0,0,,RPPNMLTKKHMFFDA08CC
松山區,建物,臺北市松山區敦化南路一段100巷7弄1~30號,0.0,住,,,1060214,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030521,95.75,1,2,1,有,無,有,41000,428,,0.0,0,,RPPOMLKLKHMFFDA37CC
信義區,建物,臺北市信義區忠孝東路五段391~420號,0.0,商,,,1060211,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0860121,134.58,1,2,2,有,有,有,65000,483,,0.0,0,,RPQOMLKLKHMFFDA47CC
松山區,房地(土地+建物),臺北市松山區敦化北路91~120號,0.0,其他,,,1060209,土地1建物1車位0,六層,14,辦公商業大樓,商業用,鋼筋混凝土造,0730211,806.0699999999999,0,0,0,無,有,無,343500,426,,0.0,0,,RPROMLKLKHMFFDA57CC
松山區,建物,臺北市松山區民生東路五段36巷4弄1~30號,7.93,其他,,,1060208,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0670602,21.09,0,0,0,無,無,無,12000,569,,0.0,0,,RPSOMLKLKHMFFDA67CC
