編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNLKHMFFCQ98CA,1,218.76,見其他登記事項,鋼筋混凝土造,104年11月13日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLLJLHMFFCQ66DA,36,176.32,住商用,鋼筋混凝土加強磚造,70年7月29日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLOLKHMFFDQ86DA,36,95.70,住家用,鋼筋混凝土加強磚造,69年7月1日,二層,一層 二層
RPTNMLOLKHMFFDQ86CA,,170.95,住家用,鋼筋混凝土造,105年8月19日,三層,一層 二層 三層 見其他登記事項
RPQNMLNJLHMFFCQ88CA,1,222.18,見其他登記事項,鋼筋混凝土造,105年1月29日,三層,一層 二層 三層 見其他登記事項
RPPNMLLJLHMFFCQ58CA,28,101.65,住家用,鋼筋混凝土加強磚造,78年3月31日,二層,一層 二層 騎樓 電梯樓梯間
RPVNMLSJLHMFFCQ27CA,33,162.59,住家用,鋼筋混凝土加強磚造,72年12月8日,二層,一層 二層 電梯樓梯間
RPPNMLPKLHMFFBQ98CA,23,399.08,住商用,鋼筋混凝土造,83年1月18日,三層,一層 二層 三層 騎樓
RPUNMLOLKHMFFDQ96CA,11,15.37,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,二層
RPUNMLOLKHMFFDQ96CA,11,6.84,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPQNMLLKLHMFFDQ88CA,46,121.37,住家用,加強磚造,60年2月20日,三層,一層 二層 三層 騎樓
