編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLLKLHMFFAU76CA,23,27.24,住家用,鋼筋混凝土造,83年8月4日,五層,四層
RPUNMLLKLHMFFAU76CA,23,7.76,共有部份,鋼筋混凝土造,83年8月4日,五層,
RPPNMLOLLHMFFAU66CA,5,128.34,住家用,鋼筋混凝土造,100年8月26日,四層,一層 二層 三層 四層
RPWNMLLLLHMFFAU07CA,21,26.69,住家用,鋼筋混凝土造,85年2月2日,十層,九層
RPWNMLLLLHMFFAU07CA,21,3.61,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPWNMLLLLHMFFAU07CA,21,7.42,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPROMLKLLHMFFAU56CA,8,1410.50,商業用,鋼筋混凝土造,97年12月19日,六層,一層 二層 三層 四層 五層 六層 屋頂突出物 地下一層 見其他登記事項
RPXOMLKLLHMFFAU17CA,23,132.78,住商用,鋼筋混凝土造,82年7月15日,二層,一層 二層 屋頂突出物 騎樓
RPSNMLLKLHMFFAU56CA,23,51.31,住家用,鋼筋混凝土造,82年12月16日,五層,二層
RPSNMLLKLHMFFAU56CA,23,7.89,共有部份,鋼筋混凝土造,82年12月16日,五層,
RPTNMLLKLHMFFAU66CA,17,83.05,住家用,鋼筋混凝土造,89年8月7日,十五層,十層
RPTNMLLKLHMFFAU66CA,17,21.38,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPTNMLLKLHMFFAU66CA,17,.72,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPTNMLLKLHMFFAU66CA,17,16.01,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPQOMLKKLHMFFAU98CA,19,67.23,住家用,鋼筋混凝土造,86年8月27日,九層,六層 七層
RPQOMLKKLHMFFAU98CA,19,11.12,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQOMLKKLHMFFAU98CA,19,9.15,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQOMLKKLHMFFAU98CA,19,3.04,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPOOMLLJLHMFFAU78CA,17,108.43,住家用,鋼筋混凝土造,89年6月9日,七層,三層
RPOOMLLJLHMFFAU78CA,17,55.37,共有部份,鋼筋混凝土造,89年6月9日,七層,
RPOOMLLJLHMFFAU78CA,17,21.89,共有部份,鋼筋混凝土造,89年6月9日,七層,
RPPNMLTJLHMFFAU96CA,23,93.72,住家用,鋼筋混凝土造,83年2月2日,七層,四層
RPPNMLTJLHMFFAU96CA,,27.96,共有部份,鋼筋混凝土造,,七層,
RPUNMLKKLHMFFAU66CA,6,75.15,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,二層
RPUNMLKKLHMFFAU66CA,6,36.90,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPTNMLMJLHMFFAU66CA,18,16.11,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPTNMLMJLHMFFAU66CA,18,96.85,住家用,鋼筋混凝土造,87年10月9日,五層,二層
RPTNMLMJLHMFFAU66CA,18,31.79,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPTNMLMJLHMFFAU66CA,18,.48,住家用,鋼筋混凝土造,87年10月9日,五層,一層
RPTNMLMJLHMFFAU66CA,18,.08,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPTNMLMJLHMFFAU66CA,18,.15,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPWNMLMJLHMFFAU96CA,35,75.72,住商用,鋼筋混凝土加強磚造,70年10月5日,二層,一層 二層
RPQOMLOLKHMFFAU96EA,23,24.63,見其他登記事項,鋼筋混凝土造,83年5月18日,七層,防空避難室
RPQOMLOLKHMFFAU96EA,23,49.47,共有部份,鋼筋混凝土造,83年5月18日,七層,
RPQOMLOLKHMFFAU96EA,23,191.97,住家用,鋼筋混凝土造,83年5月18日,七層,六層 七層
RPSNMLLLLHMFFAU66CA,,167.40,農舍,鋼筋混凝土造,105年12月16日,三層,一層 二層 三層 屋頂突出物
RPOOMLMLLHMFFAU09CA,19,256.85,住家用,鋼筋混凝土造,87年5月7日,四層,屋頂突出物 停車場 一層 二層 三層 四層
