鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里7鄰新南街110巷1~30號,30.77,住,,,1060101,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001014,113.75999999999999,2,2,2,有,無,5180000,45534,一樓平面,0.0,0,,RPVNMLNLKHMFFDK98CA
後龍鎮,土地,龍東段631~660地號,163.8,,特定農業區,農牧用地,1060101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,728000,4444,,0.0,0,"權利範圍持分急賣,親友間交易,目前約訂不點交,故無法使用",RPROMLNLKHMFFDK68CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮開元里3鄰平等街一段61~90號,12.31,商,,,1060101,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030929,98.78999999999999,3,2,1,有,有,4150000,42008,,0.0,0,,RPPNMLOLKHMFFDK48CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮大庄里2鄰成功路301~330號,155.0,住,,,1060101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0780826,198.71,4,2,2,有,無,8000000,40260,,0.0,0,,RPTNMLOLKHMFFDK88CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮山佳里28鄰店仔31~60號,175.4,住,,,1060201,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0820712,253.48,5,2,3,有,無,8550000,33730,,0.0,0,,RPOOMLOLKHMFFDK48CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔街91~120號,31.19,住,,,1051201,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051026,106.46,2,2,1,有,有,6160000,61535,坡道機械,14.48,500000,,RPUNMLLJLHMFFDK58CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔街91~120號,29.24,住,,,1051201,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051026,100.13,2,2,1,有,有,5900000,63047,坡道機械,14.48,500000,,RPVNMLLJLHMFFDK68CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔街91~120號,31.36,住,,,1051201,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051026,107.57,2,2,1,有,有,5630000,55108,坡道機械,14.48,500000,,RPWNMLLJLHMFFDK78CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮龍鳳里12鄰龍安街37巷1~30號,28.28,住,,,1060101,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050801,98.69999999999999,2,2,1,有,無,4360000,44174,一樓平面,15.99,0,,RPSNMLNJLHMFFDK58CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專七路241~270號,109.09,住,,,1051101,土地2建物1車位0,一層，二層，三層，四層，五層,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050722,264.64,5,1,6,有,無,20000000,75574,,0.0,0,,RPRNMLTJLHMFFDK09CA
竹南鎮,土地,大同段1021~1050地號,2221.04,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,107940000,48599,,0.0,0,,RPPNMLMKLHMFFDK28CA
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉銅鑼村7鄰中正路151~180號,20.28,住,,,1060201,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840322,49.13,0,0,0,無,無,2500000,50885,,0.0,0,,RPSNMLNLKHMFFEK78CA
銅鑼鄉,土地,中心埔段中興小段91~120地號,3936.04,,工業區,丁種建築用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47626000,12100,,0.0,0,,RPSNMLLJLHMFFEK48CA
苑裡鎮,土地,大埔北段421~450地號,2789.1,,山坡地保育區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,1613,,0.0,0,,RPPNMLLJLHMFFCK97CA
苗栗市,房地(土地+建物),苗栗縣苗栗市勝利里20鄰竹巷仔1~30號,108.94,住,,,1050501,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690305,107.94,3,2,3,有,無,2400000,22235,,0.0,0,,RPWNMLOLLHMFFBK09CA
苗栗市,房地(土地+建物),苗栗縣苗栗市維祥里12鄰光華街合園二巷1~30號,85.93,,鄉村區,乙種建築用地,1060201,土地5建物1車位0,全,二層,透天厝,住家用,加強磚造,,98.18,3,2,2,有,無,1186467,12085,,0.0,0,二親等買賣,RPPNMLOLKHMFFBK28CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市北苗里29鄰蕉嶺街31~60號,24.7,住,,,1060101,土地2建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871120,143.94,3,2,2,有,有,4660000,32375,坡道平面,13.92,0,,RPQOMLNJLHMFFBK28CA
公館鄉,房地(土地+建物),苗31~60號,1980.05,農,,,1040701,土地1建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,1060118,499.2,4,2,2,有,無,11080000,22196,,0.0,0,"買賣價格只有土地價格,房屋興建費用由買方自行出資",RPTOMLNJLHMFFBK58CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里13鄰祥發街61~90號,32.26,商,,,1060101,土地4建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041216,137.98000000000002,3,2,2,有,有,6000000,43485,一樓平面,0.0,0,,RPPNMLKKLHMFFBK87CA
卓蘭鎮,土地,食水坑段91~120地號,4699.56,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,532,,0.0,0,,RPPNMLOLKHMFFAK18CA
造橋鄉,土地,造橋段1321~1350地號,2062.0,,山坡地保育區,農牧用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,999690,485,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLQJLHMFFDK78DA
造橋鄉,土地,造橋段1321~1350地號,1369.0,,山坡地保育區,農牧用地,1060101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650180,475,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLQJLHMFFDK88DA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮竹興里11鄰竹圍街232巷31~60號,72.0,,一般農業區,甲種建築用地,1060101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690603,120.58,3,1,2,有,無,2000000,16586,,0.0,0,,RPWNMLNLKHMFFDK56DA
竹南鎮,土地,仁德段1~30地號,8.28,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,202860,24500,,0.0,0,向政府機關承購之案件。向農田水利會承購,RPTNMLOKLHMFFDK98DA
苑裡鎮,土地,中溝段451~480地號,164.25,,特定農業區,甲種建築用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,12785,,0.0,0,,RPPNMLPLKHMFFCK58DA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮海岸里10鄰海岸61~90號,78.0,,特定農業區,甲種建築用地,1060101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880415,163.66,4,2,3,有,無,4500000,27496,,0.0,0,,RPQNMLPLKHMFFCK68DA
頭份鎮,房地(土地+建物)+車位,苗栗縣頭份鎮蟠桃里5鄰中央路331~360號,52.57,住,,,1040701,土地1建物1車位2,一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051111,292.52,3,2,2,有,無,19100000,74479,坡道平面,60.24,1800000,,RPWNMLOLKHMFFFK76CA
