鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
信義區,房地(土地+建物),基隆市信義區深澳坑路168巷48弄31~60號,34.44,住,,,1060111,土地1建物1車位0,三層，夾層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840610,111.41,3,1,2,有,無,2300000,20644,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLTJLHMFFBC08CA
中正區,房地(土地+建物),基隆市中正區觀海街211~240號,12.42,住,,,1060116,土地2建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,65.27,2,1,1,有,有,2000000,30642,,0.0,0,,RPSNMLSKKHMFFBC08CA
仁愛區,建物,基隆市仁愛區南新街301~330號,0.0,,,,1060124,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681109,84.42,3,1,1,有,無,300000,3554,,0.0,0,本案無土地所有權，土地為市有土地，親友、員工或其他特殊關係間之交易。,RPPNMLMLKHMFFBC27CA
信義區,房地(土地+建物),基隆市信義區崇法街79巷1~30號,71.0,住,,,1060118,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570628,83.34,2,2,2,有,無,2600000,31198,,0.0,0,含增建或未登記建物。,RPPNMLLLKHMFFBC17CA
仁愛區,房地(土地+建物),基隆市仁愛區龍安街31~60號,31.67,商,,,1060208,土地3建物2車位0,防空避難室,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0711215,136.25,8,1,2,有,無,2020000,14826,,0.0,0,含增建或未登記建物。,RPXNMLKLKHMFFBC87CA
信義區,房地(土地+建物),基隆市信義區東峰街1~30號,84.13,住,,,1060108,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0650413,130.8,2,2,1,有,無,3900000,29817,,0.0,0,,RPUNMLMLKHMFFBC77CA
中正區,房地(土地+建物),基隆市中正區武昌街1~30號,24.68,商,,,1060210,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740619,124.19,3,2,2,有,無,4280000,34463,,0.0,0,,RPOOMLQJLHMFFBC57CA
中正區,房地(土地+建物),基隆市中正區中正路301~330號,21.9,住,,,1060102,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670907,68.4,2,2,1,有,無,2000000,29240,,0.0,0,含增建或未登記建物。,RPQNMLRJLHMFFBC77CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區八堵路185巷91~120號,32.66,住,,,1051222,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850402,138.04000000000002,3,2,2,有,有,3800000,27528,坡道平面,0.0,0,,RPRNMLKLKHMFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區麥金路151~180號,7.99,住,,,1051210,土地8建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,70.13,2,2,1,有,有,3550000,50620,,0.0,0,,RPSNMLKLKHMFFCC47CA
安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷61~90號,29.46,住,,,1060123,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,122.12,3,2,2,有,有,3800000,31117,,0.0,0,,RPWNMLKLKHMFFCC87CA
中山區,房地(土地+建物),基隆市中山區復興路241~270號,36.97,住,,,1051230,土地4建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0651105,71.7,3,2,1,有,無,2800000,39052,,0.0,0,,RPOOMLKLKHMFFCC17CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街61~90號,48.56,住,,,1051213,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721125,71.27,0,0,0,無,無,3600000,50512,,0.0,0,,RPVNMLSJLHMFFCC48CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街211~240號,23.26,住,,,1060209,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,108.8,3,2,2,有,有,2850000,26195,,0.0,0,,RPRNMLOLKHMFFCC77CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區暖暖街281巷1~30號,34.91,住,,,1051230,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021204,185.05,3,2,2,有,有,10800000,58363,坡道平面,34.65,0,,RPQOMLMJLHMFFCC47CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金二路1巷151~180號,34.59,住,,,1060203,土地1建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811103,235.64999999999998,4,2,2,有,有,7800000,33100,坡道平面,0.0,0,,RPVNMLMLKHMFFCC97CA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷12弄1~30號,24.72,住,,,1051230,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840124,99.78999999999999,3,2,1,有,無,2860000,28660,,0.0,0,,RPOOMLNLKHMFFCC47CA
中山區,建物,基隆市中山區中山二路1巷61~90號,0.0,,,,1060124,土地0建物1車位0,全,一層,透天厝,,木造,,22.96,2,2,2,有,無,550000,23955,,0.0,0,含增建或未登記建物。,RPUNMLKKLHMFFCC87EA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街91~120號,28.16,住,,,1051218,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,167.73000000000002,3,2,2,有,有,7000000,44218,坡道平面,32.04,1000000,,RPPNMLKLLHMFFCC27CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區暖暖街530巷1~30號,34.67,住,,,1060112,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050122,177.15,3,2,2,有,有,9880000,63934,坡道平面,42.95,1300000,,RPQNMLLJLHMFFCC27CA
安樂區,房地(土地+建物),基隆市安樂區樂利三街32巷1~30號,47.55,住,,,1060125,土地6建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701116,83.23,3,2,2,有,無,2780000,33401,,0.0,0,,RPRNMLLJLHMFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷5弄1~30號,25.78,住,,,1060208,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860401,109.13,3,2,2,有,無,3350000,30697,,0.0,0,,RPXNMLNLKHMFFCC28CA
中山區,房地(土地+建物),基隆市中山區西定路451~480號,11.6,住,,,1060207,土地1建物1車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0660107,36.36,0,0,0,無,無,550000,15127,,0.0,0,,RPRNMLLLKHMFFCC67EA
安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷61~90號,28.59,住,,,1060115,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,119.94999999999999,3,2,2,有,有,4600000,38349,,0.0,0,,RPQOMLKLKHMFFCC37CA
七堵區,房地(土地+建物),基隆市七堵區東新街89巷1~30號,36.85,住,,,1060120,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761231,98.95,3,2,2,有,無,2500000,25265,,0.0,0,,RPTNMLMLKHMFFCC77CA
七堵區,土地,友蚋段赤皮湖小段121~150地號,1746.0,,山坡地保育區,農牧用地,1060202,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,2005,,0.0,0,,RPOOMLMLKHMFFCC37CA
信義區,車位,基隆市信義區深澳坑路168巷31~60號,4.31,住,,,1060123,土地0建物0車位1,,,其他,,,,40.41,0,0,0,有,無,550000,,坡道平面,40.41,550000,,RPSNMLTJLHMFFBC18CA
中正區,房地(土地+建物),基隆市中正區義二路91~120號,24.83,商,,,1060108,土地3建物1車位0,四層,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660407,119.28,2,2,1,有,無,5050000,42337,,0.0,0,,RPVNMLMLKHMFFBC87CA
仁愛區,房地(土地+建物),基隆市仁愛區曲水街27巷31~60號,66.0,住,,,1051228,土地1建物1車位0,全,一層,透天厝,住家用,磚造,,49.6,0,0,0,無,無,1800000,36290,,0.0,0,本案地上建物已拆除，等待重建。,RPWNMLMLKHMFFBC97CA
信義區,房地(土地+建物),基隆市信義區東明路91~120號,15.25,工,,,1051229,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650511,58.09,3,2,1,有,無,2850000,49062,,0.0,0,,RPTNMLMLKHMFFBC67CA
仁愛區,房地(土地+建物)+車位,基隆市仁愛區成功一路121~150號,29.5,住,,,1060201,土地8建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860630,170.68,3,2,2,有,有,10000000,58589,坡道平面,0.0,0,車位每年輪抽,RPQNMLMLKHMFFBC37CA
仁愛區,房地(土地+建物),基隆市仁愛區愛五路1~30號,40.0,商,,,1060117,土地1建物1車位0,全,四層,透天厝,住商用,加強磚造,0590406,150.76,3,0,4,有,無,13000000,86230,,0.0,0,"頂樓有加蓋,1樓為店面",RPRNMLMLKHMFFBC47CA
中正區,房地(土地+建物),基隆市中正區新豐街181~210號,5.93,住,,,1060207,土地1建物1車位0,二層,二十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851129,32.45,1,1,1,有,有,1370000,42219,,0.0,0,,RPQNMLNLKHMFFBC47CA
信義區,房地(土地+建物)+車位,基隆市信義區深溪路55巷1~30號,19.81,住,,,1060115,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,106.71000000000001,2,2,1,有,有,3800000,35611,坡道平面,0.0,0,,RPTNMLNLKHMFFBC77CA
中正區,房地(土地+建物),基隆市中正區調和街266巷31~60號,171.29,住,,,1060208,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050205,194.71,4,2,4,有,有,10410000,53464,,0.0,0,,RPPNMLLJLHMFFBC07CA
中正區,房地(土地+建物),基隆市中正區調和街266巷55弄1~30號,174.02,住,,,1060123,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050205,198.94,3,2,4,有,有,10500000,52780,,0.0,0,,RPQNMLLJLHMFFBC17CA
仁愛區,建物,基隆市仁愛區南新街31巷1~30號,0.0,,,,1060209,土地0建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650614,68.17,2,2,1,有,無,1400000,20537,,0.0,0,土地為國有財產署。,RPTNMLLJLHMFFBC47CA
信義區,房地(土地+建物),基隆市信義區東信路258巷1~30號,30.75,住,,,1060110,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620202,102.22,3,2,1,有,無,4300000,42066,,0.0,0,,RPSNMLNKLHMFFBC67CA
信義區,房地(土地+建物),基隆市信義區培德路2巷31~60號,148.0,住,,,1060206,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,85.5,3,2,2,有,無,8800000,102924,,0.0,0,,RPTNMLNKLHMFFBC77CA
信義區,房地(土地+建物)+車位,基隆市信義區仁一路1~30號,15.62,商,,,1051220,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930506,182.76,3,2,2,有,有,14700000,80433,坡道機械,0.0,0,,RPOOMLSJLHMFFBC77CA
中正區,房地(土地+建物),基隆市中正區調和街266巷31~60號,171.29,住,,,1060123,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050205,194.71,4,2,4,有,有,9700000,49818,,0.0,0,權利人共二人,RPPNMLTJLHMFFBC87CA
安樂區,房地(土地+建物),基隆市安樂區麥金路331~360號,6.83,住,,,1060209,土地3建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,70.29,2,1,1,有,有,5250000,74691,,0.0,0,,RPQOMLMLKHMFFCC57CA
七堵區,房地(土地+建物),基隆市七堵區長安街257巷1~30號,93.12,,鄉村區,乙種建築用地,1051229,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0710223,101.48,3,2,2,有,無,4500000,44344,,0.0,0,,RPPNMLMLKHMFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷154弄1~30號,18.71,住,,,1060213,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,69.55,2,1,1,有,有,2350000,33789,,0.0,0,,RPQNMLMLKHMFFCC47CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路91~120號,15.16,住,,,1060116,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820111,127.68,2,1,2,有,有,3950000,30937,升降平面,0.0,0,,RPTOMLNKLHMFFCC97CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街121~150號,29.12,住,,,1051230,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,168.5,3,2,2,有,有,6650000,39466,坡道平面,32.04,0,,RPTNMLRKLHMFFCC28CA
七堵區,房地(土地+建物),基隆市七堵區明德一路301~330號,35.0,商,,,1060109,土地1建物1車位0,一層，防空避難室，騎樓,三層,店面(店鋪),商業用,鋼筋混凝土加強磚造,0660819,103.6,0,0,0,無,無,10800000,104247,,0.0,0,含增建或未登記建物。,RPQNMLRJLHMFFCC87CA
七堵區,房地(土地+建物),基隆市七堵區明德一路2巷3弄31~60號,38.75,住,,,1060107,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740307,109.43,3,2,2,有,無,5500000,50260,,0.0,0,,RPWNMLLJLHMFFCC87CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路121巷1~30號,32.06,住,,,1060116,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850503,131.31,3,2,2,有,有,3000000,22847,坡道平面,39.72,0,瑕疵物件之交易。,RPXNMLLJLHMFFCC97CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區源遠路361~390號,14.04,住,,,1060117,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,107.13,2,1,1,有,有,4730000,44152,坡道平面,0.0,0,,RPQNMLOLKHMFFCC67CA
