編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRPMLKLKHMFFCA57CC,12,21.28,商業用,鋼筋混凝土造,93年12月24日,十一層,
RPRPMLKLKHMFFCA57CC,12,12.21,共有部分,鋼筋混凝土造,93年12月24日,十一層,
RPSPMLKLKHMFFCA67CC,7,143.07,住家用,鋼筋混凝土造,99年3月24日,十四層,
RPSPMLKLKHMFFCA67CC,7,60.60,見其他登記事項,鋼筋混凝土造,99年3月24日,十四層,
RPVPMLKLKHMFFCA97CC,9,90.64,住家用,鋼筋混凝土造,97年3月14日,十五層,
RPVPMLKLKHMFFCA97CC,9,33.08,共有部分,鋼筋混凝土造,97年3月14日,十五層,
RPVPMLKLKHMFFCA97CC,9,9.28,共有部分,見其他登記事項,97年3月14日,十五層,
RPWPMLKLKHMFFCA08CC,11,180.97,工業用,見其他登記事項,95年4月18日,十層,
RPWPMLKLKHMFFCA08CC,11,22.24,共有部分,見其他登記事項,95年4月18日,十層,
RPWPMLKLKHMFFCA08CC,11,103.58,共有部分,見其他登記事項,95年4月18日,十層,
RPOQMLKLKHMFFCA37CC,,50.37,,加強磚造,,二層,
RPPQMLKLKHMFFCA47CC,13,403.02,工業用,鋼筋混凝土造,93年1月5日,十層,
RPPQMLKLKHMFFCA47CC,13,287.85,共有部分,鋼筋混凝土造,93年1月5日,十層,
RPPQMLKLKHMFFCA47CC,13,7.99,共有部分,鋼筋混凝土造,93年1月5日,十層,
RPPQMLKLKHMFFCA47CC,13,233.16,共有部分,鋼筋混凝土造,93年1月5日,十層,
RPQQMLKLKHMFFCA57CC,29,30.37,商業用,鋼筋混凝土造,76年11月3日,十二層,
RPQQMLKLKHMFFCA57CC,29,11.63,共有部分,鋼筋混凝土造,76年11月3日,十二層,
RPQQMLKLKHMFFCA57CC,29,29.24,商業用,鋼筋混凝土造,76年11月3日,十二層,
RPQQMLKLKHMFFCA57CC,29,11.08,共有部分,鋼筋混凝土造,76年11月3日,十二層,
RPTQMLKLKHMFFCA87CC,2,256.52,見其他登記事項,見其他登記事項,104年3月10日,十一層,
RPQNMLKLKHMFFFA57CC,30,69.45,商業用,鋼筋混凝土造,75年12月29日,十七層,
RPTNMLKLKHMFFFA87CC,2,119.34,住家用,鋼筋混凝土造,104年5月8日,十二層,
RPTNMLKLKHMFFFA87CC,2,56.60,見其他登記事項,鋼筋混凝土造,104年5月8日,十二層,
RPTNMLKLKHMFFFA87CC,2,60.27,見其他登記事項,鋼筋混凝土造,104年5月8日,十二層,
RPVNMLKLKHMFFFA08CC,44,86.29,住家用,鋼筋混凝土造,61年8月11日,四層,
RPXNMLKLKHMFFFA28CC,10,140.37,見其他登記事項,鋼骨鋼筋混凝土造,96年5月15日,十五層,
RPXNMLKLKHMFFFA28CC,10,27.60,共有部分,鋼骨鋼筋混凝土造,96年5月15日,十五層,
RPXNMLKLKHMFFFA28CC,10,23.82,共有部分,鋼骨鋼筋混凝土造,96年5月15日,十五層,
RPOOMLKLKHMFFFA47CC,29,146.02,住家用,鋼筋混凝土造,77年1月9日,十二層,
RPOOMLKLKHMFFFA47CC,29,24.36,共有部分,鋼筋混凝土造,77年1月9日,十二層,
RPROMLKLKHMFFFA77CC,,44.47,住家用,鋼筋混凝土造,,四層,
RPSOMLKLKHMFFFA87CC,,86.26,住商用,鋼筋混凝土造,,十六層,
RPSOMLKLKHMFFFA87CC,36,7.95,住家用,鋼筋混凝土造,70年2月16日,十六層,
RPVNMLLLKHMFFFA18CC,30,82.34,住家用,鋼筋混凝土造,76年2月16日,十四層,
RPWNMLLLKHMFFFA28CC,,54.63,住家用,鋼筋混凝土造,,八層,
RPXNMLLLKHMFFFA38CC,,50.00,,加強磚造,,二層,
RPOOMLLLKHMFFAA07CC,,174.80,,鋼筋混凝土造,,四層,
RPPOMLLLKHMFFAA17CC,,95.42,,鋼筋混凝土造,,四層,
RPRNMLLLKHMFFFA87DC,30,80.07,見其他登記事項,鋼筋混凝土造,76年4月23日,十四層,
RPRNMLLLKHMFFFA87DC,30,30.50,共有部分,鋼筋混凝土造,76年4月23日,十四層,
RPQNMLLLKHMFFCA37CC,9,128.81,住家用,鋼筋混凝土造,96年9月19日,十五層,
RPQNMLLLKHMFFCA37CC,9,.03,商業用,鋼筋混凝土造,96年9月19日,十五層,
RPQNMLLLKHMFFCA37CC,9,29.20,共有部分,鋼筋混凝土造,96年9月19日,十五層,
RPQNMLLLKHMFFCA37CC,9,64.03,共有部分,鋼筋混凝土造,96年9月19日,十五層,
RPQNMLLLKHMFFCA37CC,9,6.77,共有部分,鋼筋混凝土造,96年9月19日,十五層,
RPQNMLLLKHMFFCA37CC,9,16.60,共有部分,鋼筋混凝土造,96年9月19日,十五層,
RPUNMLLLKHMFFCA77CC,6,55.83,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPUNMLLLKHMFFCA77CC,6,13.05,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPUNMLLLKHMFFCA77CC,6,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPOOMLLLKHMFFCA27CC,39,89.29,住家用,鋼筋混凝土造,67年6月15日,四層,
RPSOMLLLKHMFFCA67CC,,74.75,,加強磚造,,二層,
RPQPMLLLKHMFFCA57CC,4,79.65,住家用,鋼筋混凝土造,101年9月5日,七層,
RPQPMLLLKHMFFCA57CC,4,34.64,見其他登記事項,鋼筋混凝土造,101年9月5日,七層,
RPQPMLLLKHMFFCA57CC,4,5.31,見其他登記事項,鋼筋混凝土造,101年9月5日,七層,
RPQPMLLLKHMFFCA57CC,4,10.80,見其他登記事項,鋼筋混凝土造,101年9月5日,七層,
RPRPMLLLKHMFFCA67CC,6,55.91,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPRPMLLLKHMFFCA67CC,6,13.05,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPRPMLLLKHMFFCA67CC,6,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPTNMLLLKHMFFBA57CC,22,37.50,商業用,鋼筋混凝土造,84年5月1日,十一層,
RPTNMLLLKHMFFBA57CC,22,7.13,共有部分,鋼筋混凝土造,84年5月1日,十一層,
RPTNMLLLKHMFFBA57CC,22,73.37,商業用,鋼筋混凝土造,84年5月1日,十一層,
RPTNMLLLKHMFFBA57CC,22,4.08,共有部分,鋼筋混凝土造,84年5月1日,十一層,
RPTOMLLLKHMFFBA67CC,15,32.24,見使用執照,鋼筋混凝土造,91年7月23日,十四層,
RPTOMLLLKHMFFBA67CC,15,1.02,共有部分,鋼筋混凝土造,91年7月23日,十四層,
RPTOMLLLKHMFFBA67CC,15,10.36,共有部分,鋼筋混凝土造,91年7月23日,十四層,
RPTOMLLLKHMFFBA67CC,15,3.63,共有部分,鋼筋混凝土造,91年7月23日,十四層,
RPTOMLLLKHMFFBA67CC,15,1.45,共有部分,鋼筋混凝土造,91年7月23日,十四層,
RPOOMLLLKHMFFEA47CC,38,133.57,住家用,鋼筋混凝土造,68年7月13日,四層,
RPTOMLLLKHMFFEA97CC,43,81.53,住家用,鋼筋混凝土造,62年12月18日,四層,
RPOOMLLLKHMFFDA37CC,19,789.51,見使用執照,鋼骨鋼筋混凝土造,86年12月30日,二十七層,
RPOOMLLLKHMFFDA37CC,19,10.71,共有部分,見使用執照,86年12月30日,二十七層,
RPOOMLLLKHMFFDA37CC,19,39.27,共有部分,鋼骨鋼筋混凝土造,86年12月30日,二十七層,
RPOOMLLLKHMFFDA37CC,19,154.73,共有部分,見使用執照,86年12月30日,二十七層,
RPPPMLLLKHMFFDA57CC,42,103.46,住家用,鋼筋混凝土造,64年3月11日,四層,
RPUNMLMLKHMFFDA97CC,32,133.31,商業用,鋼筋混凝土造,73年10月4日,十四層,
RPVNMLMLKHMFFDA08CC,3,130.23,住家用,鋼筋混凝土造,103年2月24日,九層,
RPVNMLMLKHMFFDA08CC,3,58.57,見其他登記事項,鋼筋混凝土造,103年2月24日,九層,
RPVNMLMLKHMFFDA08CC,3,44.36,見其他登記事項,鋼筋混凝土造,103年2月24日,九層,
RPXNMLMLKHMFFDA28CC,2,46.89,住家用,鋼筋混凝土造,103年10月2日,十層,
