鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,17.85,商,,,1031122,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,169.07,3,2,2,有,有,6150000,36375,坡道平面,0.0,0,,RPVNMLOJLHMFFCL98CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,20.58,商,,,1040529,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.11,3,2,2,有,有,7600000,38557,坡道平面,0.0,0,,RPWNMLOJLHMFFCL09CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,17.85,商,,,1031231,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,169.07,3,2,2,有,有,6030000,35666,坡道平面,0.0,0,,RPXNMLOJLHMFFCL56CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,20.79,商,,,1031011,土地1建物1車位2,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,190.07,3,2,2,有,有,7000000,36829,坡道平面,0.0,0,,RPOOMLOJLHMFFCL38CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,20.58,商,,,1040414,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.11,3,2,2,有,有,7468000,37887,坡道平面,0.0,0,,RPPOMLOJLHMFFCL48CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,18.06,商,,,1040331,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,171.04,3,2,2,有,有,6360000,37184,坡道平面,0.0,0,,RPQOMLOJLHMFFCL58CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,23.73,商,,,1040110,土地1建物1車位2,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,218.86,3,2,2,有,有,7940000,36279,坡道平面,0.0,0,,RPROMLOJLHMFFCL68CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,19.11,商,,,1031109,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,183.96,3,2,2,有,有,6780000,36856,坡道平面,0.0,0,,RPSNMLOJLHMFFCL68CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,19.11,住,,,1031206,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,183.96,3,2,2,有,有,6580000,35769,坡道平面,0.0,0,,RPPNMLOJLHMFFCL38CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,20.79,商,,,1040211,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.86,3,2,2,有,有,7340000,37097,坡道平面,0.0,0,,RPUPMLNJLHMFFCL98CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段361~390號,19.53,商,,,1040917,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,186.57,3,2,2,有,有,6680000,35804,坡道平面,0.0,0,,RPVPMLNJLHMFFCL09CA
梧棲區,房地(土地+建物),臺中市梧棲區大仁路二段361~390號,15.33,商,,,1040710,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,152.42000000000002,3,2,2,有,有,5120000,33591,,0.0,0,,RPRPMLNJLHMFFCL68CA
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大仁路二段391~420號,20.58,商,,,1040710,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051130,197.11,3,2,2,有,有,7360000,37340,坡道平面,0.0,0,立約日104.5.24,SPRPMLNJLHMFFCL78CA
