編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLKLKHMFFHR07CA,1,17.54,見其他登記事項,見其他登記事項,105年2月1日,五層,
RPUNMLLLKHMFFHR17CA,23,78.26,住家用,鋼筋混凝土造,82年7月31日,六層,六層
RPUNMLLLKHMFFHR17CA,23,24.06,共有部分,鋼筋混凝土造,82年7月31日,六層,
RPRNMLLJLHMFFFR56CA,3,330.59,見其他登記事項,鋼筋混凝土造,103年5月8日,三層,一層 二層 三層 屋頂突出物
RPRNMLLJLHMFFFR56CA,3,6.16,見其他登記事項,鋼筋混凝土造,103年5月8日,三層,
RPVNMLNJLHMFFFR17CA,23,220.51,住家用,鋼筋混凝土造,83年3月16日,四層,一層 二層 三層 四層 騎樓
RPRNMLOKLHMFFFR96CA,36,91.82,住商用,加強磚造,69年9月25日,二層,一層 二層 騎樓
RPROMLKKLHMFFFR66CA,1,192.56,住家用,見其他登記事項,105年6月1日,四層,一層 二層 三層 四層
RPSOMLPKLHMFFFR27CA,,61.33,見其他登記事項,見其他登記事項,105年11月22日,十四層,七層
RPSOMLPKLHMFFFR27CA,,26.57,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPPOMLPKLHMFFFR96CA,,95.25,見其他登記事項,見其他登記事項,105年11月22日,十四層,十一層
RPPOMLPKLHMFFFR96CA,,68.95,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPQOMLPKLHMFFFR07CA,,87.37,見其他登記事項,見其他登記事項,105年11月22日,十四層,九層
RPQOMLPKLHMFFFR07CA,,65.48,見其他登記事項,見其他登記事項,105年11月22日,十四層,
RPRNMLSJLHMFFCD18CA,22,22.79,住家用,鋼筋混凝土構造,84年5月10日,七層,四層
RPRNMLSJLHMFFCD18CA,22,9.45,共有部分,鋼筋混凝土構造,84年5月10日,七層,
RPOOMLTJLHMFFCD08CA,5,289.76,住家用,鋼筋混凝土構造,101年3月12日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPRNMLMJLHMFFCD57CA,33,110.36,住商用,加強磚造,72年11月28日,二層,一層 二層 屋頂突出物 騎樓
RPQNMLLJLHMFFCD37CA,,64.10,見其他登記事項,鋼筋混凝土構造,105年11月14日,七層,三層
RPQNMLLJLHMFFCD37CA,,15.56,見其他登記事項,鋼筋混凝土構造,105年11月14日,七層,
RPQNMLLJLHMFFCD37CA,,9.34,見其他登記事項,鋼筋混凝土構造,105年11月14日,七層,
RPTOMLKLKHMFFCD77CA,,90.18,見其他登記事項,鋼筋混凝土構造,105年11月1日,四層,一層 二層 三層 四層
RPTOMLKLKHMFFCD77CA,,90.18,見其他登記事項,鋼筋混凝土構造,105年11月1日,四層,一層 二層 三層 四層
RPSNMLNLKHMFFCD87CA,19,123.41,住家用,鋼筋混凝土構造,86年7月1日,九層,八層
RPSNMLNLKHMFFCD87CA,19,43.49,見其他登記事項,鋼筋混凝土構造,86年7月1日,九層,
RPSNMLNLKHMFFCD87CA,19,14.59,共有部分,鋼筋混凝土構造,86年7月1日,九層,
RPWOMLOLKHMFFCD48CA,,51.41,見其他登記事項,鋼筋混凝土構造,105年9月12日,七層,四層
RPWOMLOLKHMFFCD48CA,,60.01,見其他登記事項,鋼筋混凝土構造,105年9月12日,七層,
RPOPMLOLKHMFFCD77CA,25,91.01,住家用,鋼筋混凝土構造,81年7月9日,七層,二層
RPOPMLOLKHMFFCD77CA,25,18.17,共有部分,鋼筋混凝土構造,81年7月9日,七層,
RPSNMLNJLHMFFBD67CA,1,258.02,見其他登記事項,鋼筋混凝土造,104年11月2日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLNJLHMFFBD67CA,1,.02,見其他登記事項,鋼筋混凝土造,104年11月2日,一層,
RPRNMLLLKHMFFBR88CA,25,182.79,住家用,鋼筋混凝土造,81年1月3日,三層,一層 二層 三層
RPPOMLNKLHMFFAD47CA,22,37.64,住家用,鋼筋混凝土造,84年7月29日,十七層,七層
RPPOMLNKLHMFFAD47CA,22,10.27,共有部分,鋼筋混凝土造,84年7月29日,十七層,
RPPPMLRJLHMFFAD87CA,,122.13,見其他登記事項,見其他登記事項,105年11月8日,十三層,六層
RPPPMLRJLHMFFAD87CA,,93.49,見其他登記事項,見其他登記事項,105年11月8日,十三層,
RPSPMLRJLHMFFAD18CA,30,29.95,共有部分,鋼筋混凝土造,75年7月10日,五層,
RPSPMLRJLHMFFAD18CA,30,143.76,住家用,鋼筋混凝土造,75年7月10日,五層,一層
RPUQMLLJLHMFFAD87CA,22,100.37,住家用,鋼筋混凝土造,84年5月30日,二十四層,十層
RPUQMLLJLHMFFAD87CA,22,32.66,共有部分,鋼筋混凝土造,84年5月30日,二十四層,
RPUQMLLJLHMFFAD87CA,22,.04,商業用,鋼筋混凝土造,84年5月30日,二十四層,一層
RPUQMLLJLHMFFAD87CA,22,23.84,共有部分,鋼筋混凝土造,84年5月30日,二十四層,
RPXNMLLJLHMFFAD87CA,1,89.06,見其他登記事項,見其他登記事項,104年11月5日,二十四層,二十二層
